184	104
184 341	57
184 380	45
184 397	60
184 703	48
184 846	41
194	43
210	57
261	68
261 397	48
304	71
304 305	59
304 397	42
305	108
305 380	42
305 397	78
305 873	41
305 873 397	40
333	56
333 397	47
337	67
337 397	50
341	110
341 380	44
341 397	72
341 703	53
341 778	44
341 846	41
375	50
376	41
377	58
377 395	54
377 395 397	51
377 397	53
378	56
380	163
380 397	120
380 873	67
380 873 397	62
394	157
394 380	47
394 380 397	41
394 397	135
394 873	68
394 873 397	67
395	74
395 397	62
397	514
412	42
45	41
478	75
494	43
68	40
701	60
701 397	51
702	123
702 397	90
702 703	49
702 873	47
702 873 397	47
703	138
703 394	40
703 397	91
778	116
778 397	73
778 702	43
778 703	51
778 703 397	41
778 846	43
799	48
806	75
806 397	42
846	129
846 397	99
846 703	59
846 703 397	44
846 873	41
865	42
873	203
873 397	192
880	72
880 397	58
